AFG,AS
ALB,EU
DZA,AF
ASM,OC
AND,EU
AGO,AF
AIA,NA
ATG,CA
ARG,SA
ARM,AS
ABW,NA
AUS,OC
AUT,EU
AZE,AS
BHS,CA
BHR,AS
BGD,AS
BRB,CA
BLR,EU
BEL,EU
BLZ,CA
BEN,AF
BMU,NA
BTN,AS
BOL,SA
BIH,EU
BWA,AF
BRA,SA
BRN,AS
BGR,EU
BFA,AF
BDI,AF
KHM,AS
CMR,AF
CAN,NA
CPV,AF
CYM,NA
CAF,AF
TCD,AF
CHI,EU
CHL,SA
CHN,AS
COL,SA
COM,AF
COD,AF
COG,AF
COK,OC
CRI,CA
CIV,AF
HRV,EU
CUB,CA
CYP,EU
CZE,EU
DNK,EU
DJI,AF
DMA,CA
DOM,CA
ECU,SA
EGY,AF
SLV,CA
GNQ,AF
ERI,AF
EST,EU
ETH,AF
FRO,EU
FLK,SA
FJI,OC
FIN,EU
FRA,EU
GUF,SA
PYF,OC
GAB,AF
GMB,AF
GEO,AS
DEU,EU
GHA,AF
GIB,EU
GRC,EU
GRL,NA
GRD,CA
GLP,NA
GUM,OC
GTM,CA
GIN,AF
GNB,AF
GUY,SA
HTI,CA
HND,CA
HKG,AS
HUN,EU
ISL,EU
IND,AS
IDN,AS
IRN,AS
IRQ,AS
IRL,EU
IMN,EU
ISR,AS
ITA,EU
JAM,CA
JPN,AS
JOR,AS
KAZ,AS
KEN,AF
KIR,OC
PRK,AS
KOR,AS
XKX,EU
KWT,AS
KGZ,AS
LAO,AS
LVA,EU
LBN,AS
LSO,AF
LBR,AF
LBY,AF
LIE,EU
LTU,EU
LUX,EU
MAC,AS
MKD,EU
MDG,AF
MWI,AF
MYS,AS
MDV,AS
MLI,AF
MLT,EU
MHL,OC
MTQ,NA
MRT,AF
MUS,AF
MYT,AF
MEX,NA
FSM,OC
MDA,EU
MCO,EU
MNG,AS
MNE,EU
MSR,NA
MAR,AF
MOZ,AF
MMR,AS
NAM,AF
NRU,OC
NPL,AS
NLD,EU
ANT,NA
NCL,OC
NZL,OC
NIC,CA
NER,AF
NGA,AF
NIU,OC
NFK,OC
MNP,OC
NOR,EU
OMN,AS
PAK,AS
PLW,OC
PAN,CA
PNG,OC
PRY,SA
PER,SA
PHL,AS
POL,EU
PRT,EU
PRI,NA
QAT,AS
REU,AF
ROU,EU
RUS,EU
RWA,AF
SHN,AF
SPM,NA
WSM,OC
SMR,EU
STP,AF
SAU,AS
SEN,AF
SRB,EU
SCG,EU
SYC,AF
SLE,AF
SGP,AS
SVK,EU
SVN,EU
SLB,OC
SOM,AF
ZAF,AF
ESP,EU
LKA,AS
KNA,NA
LCA,NA
VCT,CA
SDN,AF
SUR,SA
SWZ,AF
SWE,EU
CHE,EU
SYR,AS
TWN,AS
TJK,AS
TZA,AF
THA,AS
TLS,OC
TGO,AF
TKL,OC
TON,OC
TTO,CA
TUN,AF
TUR,AS
TKM,AS
TCA,NA
TUV,OC
UGA,AF
UKR,EU
ARE,AS
GBR,EU
USA,NA
URY,SA
UZB,AS
VUT,OC
VEN,SA
VNM,AS
VIR,NA
VGB,NA
WLF,OC
PSE,AS
YEM,AS
ZMB,AF
ZWE,AF
